key,year,season,observe_date,previous_cutting_date,location_1,location_2,location_3,location_4,cultivar,tea_kind,sample_label,replication,G1L,G2L,G3L,G4L,G5L,G6L,G7L,G8L,G9L,O1L,O2L,O3L,O4L,O5L,O6L,O7L,O8L,O9L,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
1082ndDP1,108,2nd,2019/5/13,2019/3/26,9,3,60,南東,DP,fresh leaves,1,1,0,0,1,1,2,6,3,0,0,0,4,18,24,11,7,0,0,0,60,9.31,3.6,2.482333333,0.5,112,65.44851952,20.93276366,2.117893919,17.57964025,0.865824468,2.773015281,5.82505438,30.28018434,4.860523476,43.68387902,4.763182422,8.350688695,,100.5365276
1082ndDP2,108,2nd,2019/5/13,2019/3/26,9,2,40,中中,DP,fresh leaves,2,2,0,0,0,1,2,0,0,0,0,0,0,12,25,7,1,0,0,0,60,8.08,3.7,1.980666667,0.6,116,67.26107468,23.62667185,1.639047903,18.07247659,0.841175963,2.902099152,6.689246722,32.23928985,5.070131436,45.04260376,5.017332957,8.472919717,,105.4336236
1082ndDP3,108,2nd,2019/5/13,2019/3/26,9,2,20,北西,DP,fresh leaves,3,3,0,0,0,2,2,2,1,0,0,0,2,15,10,7,1,0,1,0,60,9.32,4.2,2.063142857,0.5,127,68.9226765,18.3274477,1.561643429,18.26637837,0.73546683,2.881705558,6.685829866,33.33850328,5.513362146,50.17348776,5.121614528,9.401850649,,113.1163538
1082ndFS1,108,2nd,2019/4/26,2019/3/14,5,2,130,NULL,FS,fresh leaves,1,1,0,0,3,9,8,1,0,0,0,0,0,8,6,0,0,0,0,0,53,13.37,4.7,2.778071429,0.2,211,87.80416227,18.23426333,4.429748764,15.64187458,0.608603117,1.428553464,0.301156592,14.9887717,4.664523515,35.11974811,3.605314802,6.061088358,,66.16915654
1082ndFS2,108,2nd,2019/4/26,2019/3/14,5,2,110,NULL,FS,fresh leaves,2,2,0,0,1,3,2,5,2,1,0,0,2,6,4,6,0,0,0,0,53,16.76,5.8,2.838055556,0.2,204,91.60388144,20.28386579,4.833744379,15.96645453,0.706541406,1.629493478,0.312602347,15.1268531,4.780809161,34.76119973,3.614694546,5.924264434,,66.1499168
1082ndFS3,108,2nd,2019/4/26,2019/3/14,5,1,40,NULL,FS,fresh leaves,3,3,0,1,4,3,5,2,1,0,0,0,1,4,2,1,1,0,0,0,53,17.26,5.4,3.130976191,0.1,213,86.85615861,19.55739503,4.285126362,15.5107868,0.646661502,1.642519657,0.309434512,14.81782268,4.641183147,34.17894338,3.568753347,5.831355848,,64.99001257
1082ndT81,108,2nd,2019/5/7,2019/3/20,11,2,20,北西,T8,fresh leaves,1,1,0,5,16,11,9,4,2,0,0,0,0,0,0,5,3,2,0,0,65,8.49,3.5,2.254166667,0.6,174,101.4758449,23.61354764,1.747909203,25.895,1.691482635,0.901433198,7.313207597,23.26247845,3.096133432,60.71733603,4.733677841,9.00753916,,109.0318057
1082ndT82,108,2nd,2019/5/7,2019/3/20,11,2,50,中中,T8,fresh leaves,2,2,0,5,20,23,4,6,0,0,0,0,0,0,0,0,2,0,0,0,65,7.71,4,1.814833333,0.8,170,109.0297878,22.01281067,1.617901741,28.095,1.709645198,1.531449751,8.959510349,26.78084752,3.715018312,66.1926578,5.417934879,9.874143722,,122.4715623
1082ndT83,108,2nd,2019/5/7,2019/3/20,11,2,90,南東,T8,fresh leaves,3,3,0,5,9,18,15,8,2,0,0,0,0,0,4,2,4,2,0,0,65,7.29,3.9,1.815666667,0.6,161,110.9095164,22.0864117,1.299062172,27.925,1.638292229,1.28190682,8.371278984,23.89413717,3.295863958,66.81167363,5.486615377,9.431123641,,118.5725996
1082ndT121,108,2nd,2019/4/25,2019/3/11,6,3,50,NULL,T12,fresh leaves,1,1,0,0,2,9,7,0,0,0,0,0,0,11,12,6,0,0,0,0,57,9.61,3.9,2.497,0.3,109.8,97.49789928,13.05407195,4.532028781,13.3745452,1.46866654,0,0.171009192,19.98243187,2.428830118,19.71588706,2.428479814,3.62662144,,48.3532595
1082ndT122,108,2nd,2019/4/25,2019/3/11,6,4,90,NULL,T12,fresh leaves,2,2,0,0,0,6,11,1,0,0,0,0,0,2,11,6,0,0,0,0,57,8.4,3.6,2.3405,0.5,139,105.2709181,11.98711433,4.333250873,14.17391744,1.546505944,0,0.158767232,14.22062027,2.468254424,20.73067063,2.487850267,3.921915712,,43.98807853
1082ndT123,108,2nd,2019/4/25,2019/3/11,6,2,20,NULL,T12,fresh leaves,3,3,0,0,1,3,4,1,0,0,0,0,0,6,7,9,0,0,0,0,57,12.23,4.5,2.564571429,0.4,130,108.9155732,12.41154495,3.330022359,11.20933119,1.114297004,0,0.170436474,12.67031365,2.6674052,22.14680555,2.515453261,3.947403816,,44.11781796
1082ndT171,108,2nd,2019/4/29,2019/3/8,3,3,150,NULL,T17,fresh leaves,1,1,0,0,0,0,3,1,1,0,0,0,0,0,6,9,10,7,1,0,58,6.01,4.5,1.222166667,0.7,128,89.40692792,13.40104003,1.233282166,20.05882645,1.109265436,2.048903133,6.150679158,24.53610725,5.697102336,41.43888007,4.156007772,8.781811991,,92.80949171
1082ndT172,108,2nd,2019/4/29,2019/3/8,3,2,129,NULL,T17,fresh leaves,2,2,0,0,2,0,5,6,3,1,0,0,2,1,7,7,7,1,0,0,58,5.88,4.4,1.310833333,0.5,99,88.15547464,16.04841962,1.589370217,20.12799056,1.430542988,1.565289306,5.511506587,23.07715212,5.004567861,38.25733119,4.057973359,8.748595259,,86.22241568
1082ndT173,108,2nd,2019/4/29,2019/3/8,3,1,100,NULL,T17,fresh leaves,3,3,0,0,0,0,0,7,2,0,0,0,0,0,4,9,16,3,0,0,58,7.67,4.7,1.564666667,0.7,114,100.9680724,15.06366829,1.522385537,20.24435238,1.009074264,1.554594582,5.788504012,24.40615454,5.120064322,43.64481259,4.188405048,8.739330877,,93.44186595
1082ndT181,108,2nd,2019/5/14,2019/3/21,12,1,180,南東,T18,fresh leaves,1,1,1,2,4,1,3,2,0,0,0,0,0,2,9,19,4,0,0,0,58,10.19,4.6,2.137666667,0.5,165,128.2541253,20.30353662,1.298687044,29.06663386,1.182046772,3.377486643,13.03023843,31.5890668,6.703092515,66.28984775,6.469704462,12.32227454,,139.7817112
1082ndT182,108,2nd,2019/5/14,2019/3/21,12,1,150,中中,T18,fresh leaves,2,2,0,0,3,8,11,5,4,0,0,0,2,5,5,2,2,0,0,0,58,8.92,4,2.0545,0.5,161,117.3214537,20.1448066,1.458528949,27.17836025,1.073409207,3.44474115,14.60540806,32.13859173,6.862782306,64.45628293,6.186564443,11.98962758,,139.6839982
1082ndT183,108,2nd,2019/5/14,2019/3/21,12,1,111,北西,T18,fresh leaves,3,3,0,2,9,8,12,6,0,0,0,0,0,3,1,0,0,0,0,0,58,13.64,4.9,2.655785714,0.3,214.5,115.350026,21.59818339,1.379328543,25.57940083,1.195043497,3.687411928,13.08754347,31.52204186,7.328057176,58.43625102,5.626397885,11.69422689,,131.3819302
1082ndT201,108,2nd,2019/5/9,2019/3/25,11,1,50,北東,T20,fresh leaves,1,1,0,0,0,0,3,4,0,0,0,0,5,13,13,5,0,0,0,0,57,9.68,4.3,2.126071429,0.9,123.5,125.2837568,12.33837469,0.988422656,10.99226666,0.691883987,1.729810844,5.458953804,26.40606383,4.51503499,25.6273401,2.422737774,4.162160695,,70.32210203
1082ndT202,108,2nd,2019/5/9,2019/3/25,11,1,90,中西,T20,fresh leaves,2,2,0,1,0,0,2,0,0,0,0,0,4,16,15,6,1,0,0,0,57,7.41,3.9,1.825,0.8,124.5,77.7060227,12.13542924,0.859811169,12.43223399,0.600967525,1.65630435,6.547082595,32.90278061,5.115202886,30.99625669,2.91783348,4.949372271,,85.08483288
1082ndT203,108,2nd,2019/5/9,2019/3/25,11,1,120,南中,T20,fresh leaves,3,3,0,0,1,0,0,0,0,0,0,0,4,12,14,5,1,1,0,0,57,8.87,4,2.079333333,0.9,138.5,84.04583487,15.79861632,1.146645221,12.39215607,0.532403143,1.438753085,6.660428725,30.34543267,4.98887062,31.09262396,2.990684066,4.989249628,,82.50604274
1082ndDP1,108,2nd,2019/5/13,2019/3/26,9,3,60,南東,DP,black tea,1,1,0,0,1,1,2,6,3,0,0,0,4,18,24,11,7,0,0,0,60,9.31,3.6,2.482333333,0.5,112,38.96135233,10.95287403,1.31201878,16.05005347,2.188520625,0,8.871838265,7.739049981,0,10.34496171,0,4.410115742,,31.3659657
1082ndDP2,108,2nd,2019/5/13,2019/3/26,9,2,40,中中,DP,black tea,2,2,0,0,0,1,2,0,0,0,0,0,0,12,25,7,1,0,0,0,60,8.08,3.7,1.980666667,0.6,116,37.51422699,14.06180309,1.231789781,15.88973353,2.159528829,0,8.832904173,7.741284728,0,10.3168334,0,4.385790997,,31.2768133
1082ndDP3,108,2nd,2019/5/13,2019/3/26,9,2,20,北西,DP,black tea,3,3,0,0,0,2,2,2,1,0,0,0,2,15,10,7,1,0,1,0,60,9.32,4.2,2.063142857,0.5,127,35.00730455,13.38356509,1.210113495,15.40866563,2.135256471,0,8.589117454,6.23645499,0,10.30801247,0,4.308333786,,29.4419187
1082ndT81,108,2nd,2019/5/7,2019/3/20,11,2,20,北西,T8,green tea,1,1,0,5,16,11,9,4,2,0,0,0,0,0,0,5,3,2,0,0,65,8.49,3.5,2.254166667,0.6,174,106.338789,26.49709321,2.241639151,27.725,0.55267142,1.725855272,9.114720818,27.40430046,4.256337154,70.28357167,0.85222,8.837912643,,122.474918
1082ndT82,108,2nd,2019/5/7,2019/3/20,11,2,50,中中,T8,green tea,2,2,0,5,20,23,4,6,0,0,0,0,0,0,0,0,2,0,0,0,65,7.71,4,1.814833333,0.8,170,125.1554116,25.66109238,2.293723551,27.92,0.545582442,1.762713006,9.208099305,29.11870021,4.322546588,71.61873233,0.852902869,9.047818249,,125.9315125
1082ndT83,108,2nd,2019/5/7,2019/3/20,11,2,90,南東,T8,green tea,3,3,0,5,9,18,15,8,2,0,0,0,0,0,4,2,4,2,0,0,65,7.29,3.9,1.815666667,0.6,161,111.9685118,25.41316003,2.272315937,26.925,0.529861399,1.739572928,9.058455365,28.96829252,4.274105973,69.11461017,0.852049897,8.816445228,,122.8235321
1082ndT121,108,2nd,2019/4/25,2019/3/11,6,3,50,NULL,T12,black tea,1,1,0,0,2,9,7,0,0,0,0,0,0,11,12,6,0,0,0,0,57,9.61,3.9,2.497,0.3,109.8,70.47494928,19.85580653,1.426792227,15.39177755,2.257827232,0.718897846,0.735785706,11.23838924,0,2.672970544,0,1.026874704,,16.39291803
1082ndT122,108,2nd,2019/4/25,2019/3/11,6,4,90,NULL,T12,black tea,2,2,0,0,0,6,11,1,0,0,0,0,0,2,11,6,0,0,0,0,57,8.4,3.6,2.3405,0.5,139,72.36550282,20.02813338,1.462526655,14.92673644,2.242329739,0.475540773,0.729974037,8.910838176,0,2.62161734,0,1.023792996,,13.76176332
1082ndT123,108,2nd,2019/4/25,2019/3/11,6,2,20,NULL,T12,black tea,3,3,0,0,1,3,4,1,0,0,0,0,0,6,7,9,0,0,0,0,57,12.23,4.5,2.564571429,0.4,130,71.42630915,19.83522514,1.435907137,15.27989438,2.261757618,0.748220434,0.763676649,10.44982766,0,2.824775438,0,1.131355953,,15.91785614
1082ndT171,108,2nd,2019/4/29,2019/3/8,3,3,150,NULL,T17,black tea,1,1,0,0,0,0,3,1,1,0,0,0,0,0,6,9,10,7,1,0,58,6.01,4.5,1.222166667,0.7,128,34.0484272,17.35865817,0.88113645,21.64872169,2.573380993,0,0,11.97013765,0,0,0,0,,11.97013765
1082ndT172,108,2nd,2019/4/29,2019/3/8,3,2,129,NULL,T17,black tea,2,2,0,0,2,0,5,6,3,1,0,0,2,1,7,7,7,1,0,0,58,5.88,4.4,1.310833333,0.5,99,32.18480561,17.1946933,0.90124506,22.20240607,2.627300941,0,0,14.41272398,0,0,0,0,,14.41272398
1082ndT173,108,2nd,2019/4/29,2019/3/8,3,1,100,NULL,T17,black tea,3,3,0,0,0,0,0,7,2,0,0,0,0,0,4,9,16,3,0,0,58,7.67,4.7,1.564666667,0.7,114,33.7418517,16.66720879,0.445940429,22.19367881,2.632361288,0,0,10.77595703,0,0,0,0,,10.77595703
1082ndT181,108,2nd,2019/5/14,2019/3/21,12,1,180,南東,T18,green tea,1,1,1,2,4,1,3,2,0,0,0,0,0,2,9,19,4,0,0,0,58,10.19,4.6,2.137666667,0.5,165,137.1315562,20.12171028,1.734321719,29.39664556,0.527302525,3.828421833,14.41004335,35.84897849,8.284603766,75.94664582,0,13.98891424,,152.3076075
1082ndT182,108,2nd,2019/5/14,2019/3/21,12,1,150,中中,T18,green tea,2,2,0,0,3,8,11,5,4,0,0,0,2,5,5,2,2,0,0,0,58,8.92,4,2.0545,0.5,161,132.6141843,22.70831813,2.257165936,27.59462043,0.479821249,3.844255384,13.86153151,34.89207669,8.118008265,70.3576839,0,12.76589357,,143.8394493
1082ndT183,108,2nd,2019/5/14,2019/3/21,12,1,111,北西,T18,green tea,3,3,0,2,9,8,12,6,0,0,0,0,0,3,1,0,0,0,0,0,58,13.64,4.9,2.655785714,0.3,214.5,134.579272,21.73139527,2.206411257,28.44283307,0.512990325,3.871130367,13.95350575,35.12010257,8.328221156,73.18681833,0,13.39936485,,147.859143
1082ndT201,108,2nd,2019/5/9,2019/3/25,11,1,50,北東,T20,black tea,1,1,0,0,0,0,3,4,0,0,0,0,5,13,13,5,0,0,0,0,57,9.68,4.3,2.126071429,0.9,123.5,46.64999374,12.46638751,0.466453302,14.92415849,2.150707026,0,0,13.62054819,0,0,0,0,,13.62054819
1082ndT202,108,2nd,2019/5/9,2019/3/25,11,1,90,中西,T20,black tea,2,2,0,1,0,0,2,0,0,0,0,0,4,16,15,6,1,0,0,0,57,7.41,3.9,1.825,0.8,124.5,48.74746341,12.29488996,0.457164642,13.9960551,2.118958733,0,0,13.44522885,0,0,0,0,,13.44522885
1082ndT203,108,2nd,2019/5/9,2019/3/25,11,1,120,南中,T20,black tea,3,3,0,0,1,0,0,0,0,0,0,0,4,12,14,5,1,1,0,0,57,8.87,4,2.079333333,0.9,138.5,48.59107924,12.64923431,0.454446047,14.43683356,2.097495859,0,0,13.18723072,0,0,0,0,,13.18723072
1083rdDP1,108,3rd,2019/7/8,2020/5/12,10,1,50,北西,DP,fresh leaves,1,1,0,0,0,1,3,11,4,0,0,0,6,20,21,14,4,0,0,0,62,11.36,4.8,2.31602381,0.7,139.8,66.015,9.625,4.315,13.05,0.58,1.25,6.88,22.95,4.845,30.33,3,5.05,,74.3
1083rdDP2,108,3rd,2019/7/8,2020/5/12,10,1,70,中中,DP,fresh leaves,2,2,0,0,0,0,2,6,12,4,0,0,0,9,20,14,4,0,0,0,62,10.36,4.6,2.084095238,0.5,145.6,80.68,8.155,5.085,13.93,0.63,1.065,6.545,23.945,4.525,30.485,2.79,4.965,,74.32
1083rdDP3,108,3rd,2019/7/8,2020/5/12,10,1,90,南東,DP,fresh leaves,3,3,0,0,0,0,0,2,3,2,0,0,1,5,17,14,7,0,0,0,62,11.15,4.9,2.156714286,0.5,142.2,56.725,8.095,3.7,11.85,0.495,1.02,6.46,22.33,4.425,28.33,2.695,4.645,,69.905
1083rdFS1,108,3rd,2019/6/21,2020/4/28,5,2,140,南西,FS,fresh leaves,1,1,0,0,0,0,2,7,2,9,0,0,0,0,4,6,4,2,0,0,53,11.36,4.7,2.310928571,0,167,78.87,22.135,19.84,17.06,1.485,2.305,6.23,24.16,4.98,27.68,2.825,7.445,,75.63
1083rdFS2,108,3rd,2019/6/21,2020/4/28,5,2,120,中中,FS,fresh leaves,2,2,0,0,1,1,0,5,7,5,1,0,0,1,2,7,2,1,1,0,53,11.65,5.2,2.172666667,0.1,171.5,83.005,27.13,19.205,19.275,1.735,2.045,5.775,24.605,4.04,27.895,2.58,7.77,,74.715
1083rdFS3,108,3rd,2019/6/21,2020/4/28,5,1,59,北東,FS,fresh leaves,3,3,0,0,1,0,2,5,10,6,0,0,0,0,1,1,2,0,0,0,53,11.03,4.9,2.1925,0,146,83.475,23.45,19.885,20.97,1.755,2.35,6.255,29.1,4.97,29.53,3.115,8.45,,83.765
1083rdT81,108,3rd,2019/7/5,2020/5/8,10,2,100,西,T8,fresh leaves,1,1,0,0,2,0,0,0,1,0,0,0,8,19,25,14,6,0,0,0,67,6.71,3.3,1.848333333,0.8,149.9,95.6,23.155,20.515,17.16,0.98,1.52,9.83,25.91,3.51,45.25,3.435,7.8,,97.245
1083rdT82,108,3rd,2019/7/5,2020/5/8,10,2,120,中,T8,fresh leaves,2,2,0,0,0,0,0,1,0,0,0,0,2,14,30,12,4,0,0,0,67,6.28,3.2,1.754047619,0.8,127.8,102.395,20.215,22.085,18.07,0.945,1.625,10.015,25.415,3.65,50.745,3.715,8.365,,103.53
1083rdT83,108,3rd,2019/7/5,2020/5/8,10,2,140,東,T8,fresh leaves,3,3,0,0,0,2,0,3,1,0,0,0,2,5,12,24,6,0,0,0,67,7.93,3.7,2.085166667,1,162.1,115.19,18.43,17.855,17.57,0.78,1.695,12.325,32.87,4.78,53.915,3.995,8.79,,118.37
1083rdT121,108,3rd,2019/6/18,2020/4/26,6,3,50,南西,T12,fresh leaves,1,1,0,0,0,4,12,20,10,0,0,0,0,0,9,6,3,0,0,0,57,11.27,5.7,1.982428571,0.2,122,74.02,23.065,14.095,16.525,0.72,1.065,7.165,20.485,4.88,29.385,3.235,5.535,,71.745
1083rdT122,108,3rd,2019/6/18,2020/4/26,6,4,110,中中,T12,fresh leaves,2,2,0,0,0,1,5,13,14,0,0,0,0,2,5,2,3,0,0,0,57,10.89,5.5,1.995452381,0.3,118,62.095,21.52,12.825,16.22,0.735,1.03,6.62,18.81,4.58,28.305,2.945,5.37,,67.66
1083rdT123,108,3rd,2019/6/18,2020/4/26,6,4,83,北東,T12,fresh leaves,3,3,0,1,2,2,7,15,9,1,0,0,0,3,6,1,2,1,0,0,57,15.44,6.1,2.426904762,0,165.5,68.975,24.045,12.755,15.27,0.67,1.04,6.805,19.36,4.68,28.03,3.005,4.16,,67.075
1083rdT171,108,3rd,2019/6/24,2020/4/29,3,3,50,北西,T17,fresh leaves,1,1,0,0,0,0,0,0,8,4,0,0,0,1,9,21,10,2,0,1,58,6.05,5,1.128226191,0.5,105,91.67,12.175,7.825,17.485,1.02,2.015,8.13,30.255,5.52,35.25,3.525,8.135,,92.83
1083rdT172,108,3rd,2019/6/24,2020/4/29,3,2,80,中中,T17,fresh leaves,2,2,0,0,0,0,1,4,1,7,0,0,0,2,3,16,10,9,2,0,58,5.64,5.6,0.955285714,0.8,84.3,88.87,14.015,11.255,17.935,0.98,1.835,8.09,22.88,5.09,33.025,3.425,8.035,,82.38
1083rdT173,108,3rd,2019/6/24,2020/4/29,3,2,160,南東偏中,T17,fresh leaves,3,3,0,0,0,0,0,0,2,2,0,0,0,3,18,25,19,2,0,0,58,7.25,5.8,1.266452381,0.8,107.5,100.805,10.61,8.155,19.425,0.89,2.15,8.835,27.115,6.065,40.135,3.96,9.095,,97.355
1083rdT181,108,3rd,2019/7/16,2020/5/16,23,NULL,224,北西,T18,fresh leaves,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,10,10,10,2,0,64,9.41,4.2,2.044666667,0.5,163.7,231.455,26.935,20.195,23.08,1.005,0.095,14.475,26.12,5.725,51,5.83,10.835,,114.08
1083rdT182,108,3rd,2019/7/16,2020/5/16,23,NULL,150,中中,T18,fresh leaves,2,2,0,0,0,0,0,0,7,1,0,0,0,0,1,8,2,5,1,0,64,10.33,4.6,2.200333333,0.8,177.5,232.765,24.395,18.095,22.175,0.885,0.09,14.175,25.895,5.695,51.75,5.985,11.08,,114.67
1083rdT183,108,3rd,2019/7/16,2020/5/16,23,NULL,125,南東,T18,fresh leaves,3,3,0,0,0,0,1,0,5,3,1,0,0,1,1,5,11,4,0,0,64,7.54,3.8,1.759,0.8,159.6,218.35,20.64,14.66,20.41,0.79,0.1,13.92,24.605,6.215,47.35,5.45,10.41,,108.05
1083rdT201,108,3rd,2019/7/1,2020/5/10,11,1,50,北東,T20,fresh leaves,1,1,0,0,0,1,4,12,2,0,0,0,0,2,14,23,10,2,0,0,57,7.95,3.8,1.916833333,0.6,118.7,85.07,12.755,9.49,13.87,0.6,1.33,8.035,28.075,5.6,32.66,3.055,5.8,,84.56
1083rdT202,108,3rd,2019/7/1,2020/5/10,11,1,90,中中,T20,fresh leaves,2,2,0,0,0,2,4,5,3,0,0,0,0,5,27,19,2,0,0,0,57,9.48,4.6,1.976333333,0.4,109.7,76.925,12.15,7.82,12.91,0.625,1.33,7.475,25.55,5.45,29.04,2.805,5.57,,77.22
1083rdT203,108,3rd,2019/7/1,2020/5/10,11,1,120,南西,T20,fresh leaves,3,3,0,0,0,5,6,9,3,0,0,0,0,11,8,11,5,0,0,0,57,8.14,4.2,1.860666667,0.6,107.1,83.865,15.77,11.94,13.64,0.51,1.015,8.255,27.44,5.525,30.75,2.99,5.335,,81.3
1083rdDP1,108,3rd,2019/7/8,2020/5/12,10,1,50,北西,DP,black tea,1,1,0,0,0,1,3,11,4,0,0,0,6,20,21,14,4,0,0,0,62,11.36,4.8,2.31602381,0.7,139.8,34.345,8.705,1.825,13.765,2.09,0,0.63,0,0,0,0,0,,0.63
1083rdDP2,108,3rd,2019/7/8,2020/5/12,10,1,70,中中,DP,black tea,2,2,0,0,0,0,2,6,12,4,0,0,0,9,20,14,4,0,0,0,62,10.36,4.6,2.084095238,0.5,145.6,33.34,8.305,1.83,13.555,2.05,0,0.615,0,0,0,0,0,,0.615
1083rdDP3,108,3rd,2019/7/8,2020/5/12,10,1,90,南東,DP,black tea,3,3,0,0,0,0,0,2,3,2,0,0,1,5,17,14,7,0,0,0,62,11.15,4.9,2.156714286,0.5,142.2,35.385,8.73,1.875,13.725,2.065,0,0.63,0,0,0,0,0,,0.63
1083rdFS1,108,3rd,2019/6/21,2020/4/28,5,2,140,南西,FS,black tea,1,1,0,0,0,0,2,7,2,9,0,0,0,0,4,6,4,2,0,0,53,11.36,4.7,2.310928571,0,167,37.92,24.915,9.395,15.93,2.18,0,0.935,0,0,0,0,0,,0.935
1083rdFS2,108,3rd,2019/6/21,2020/4/28,5,2,120,中中,FS,black tea,2,2,0,0,1,1,0,5,7,5,1,0,0,1,2,7,2,1,1,0,53,11.65,5.2,2.172666667,0.1,171.5,38.11,26.71,10.245,16.375,2.265,0,0.99,0,0,0,0,0,,0.99
1083rdFS3,108,3rd,2019/6/21,2020/4/28,5,1,59,北東,FS,black tea,3,3,0,0,1,0,2,5,10,6,0,0,0,0,1,1,2,0,0,0,53,11.03,4.9,2.1925,0,146,39.09,26.165,10.745,16.825,2.295,0,1.035,0,0,0,0,0,,1.035
1083rdT81,108,3rd,2019/7/5,2020/5/8,10,2,100,西,T8,green tea,1,1,0,0,2,0,0,0,1,0,0,0,8,19,25,14,6,0,0,0,67,6.71,3.3,1.848333333,0.8,149.9,55.6,33.435,25.29,19.31,3.26,0.02,0.595,29.715,4.295,60.115,5.435,9.005,,109.185
1083rdT82,108,3rd,2019/7/5,2020/5/8,10,2,120,中,T8,green tea,2,2,0,0,0,0,0,1,0,0,0,0,2,14,30,12,4,0,0,0,67,6.28,3.2,1.754047619,0.8,127.8,53.475,31.565,26.085,20.12,3.49,0.01,0.575,28.81,4.075,60.195,4.65,8.83,,107.14
1083rdT83,108,3rd,2019/7/5,2020/5/8,10,2,140,東,T8,green tea,3,3,0,0,0,2,0,3,1,0,0,0,2,5,12,24,6,0,0,0,67,7.93,3.7,2.085166667,1,162.1,59.485,32.2,25.885,20.96,3.52,0.02,0.62,31.875,4.55,67.01,5.57,9.83,,119.475
1083rdT121,108,3rd,2019/6/18,2020/4/26,6,3,50,南西,T12,black tea,1,1,0,0,0,4,12,20,10,0,0,0,0,0,9,6,3,0,0,0,57,11.27,5.7,1.982428571,0.2,122,29.975,26.245,3.17,16.98,2.15,0,13.64,0,0,0,0,0,,13.64
1083rdT122,108,3rd,2019/6/18,2020/4/26,6,4,110,中中,T12,black tea,2,2,0,0,0,1,5,13,14,0,0,0,0,2,5,2,3,0,0,0,57,10.89,5.5,1.995452381,0.3,118,30.715,27.86,3.775,16.94,2.035,0,13.805,0,0,0,0,0,,13.805
1083rdT123,108,3rd,2019/6/18,2020/4/26,6,4,83,北東,T12,black tea,3,3,0,1,2,2,7,15,9,1,0,0,0,3,6,1,2,1,0,0,57,15.44,6.1,2.426904762,0,165.5,31.56,25.9,3.265,17.515,2.26,0,14.13,0,0,0,0,0,,14.13
1083rdT171,108,3rd,2019/6/24,2020/4/29,3,3,50,北西,T17,black tea,1,1,0,0,0,0,0,0,8,4,0,0,0,1,9,21,10,2,0,1,58,6.05,5,1.128226191,0.5,105,46.835,17.44,4.355,21.025,2.495,0,20.615,0,0,0,0,0,,20.615
1083rdT172,108,3rd,2019/6/24,2020/4/29,3,2,80,中中,T17,black tea,2,2,0,0,0,0,1,4,1,7,0,0,0,2,3,16,10,9,2,0,58,5.64,5.6,0.955285714,0.8,84.3,45.595,16.345,4.4,20.805,2.475,0,19.73,0,0,0,0,0,,19.73
1083rdT173,108,3rd,2019/6/24,2020/4/29,3,2,160,南東偏中,T17,black tea,3,3,0,0,0,0,0,0,2,2,0,0,0,3,18,25,19,2,0,0,58,7.25,5.8,1.266452381,0.8,107.5,45.35,15.465,4.32,20.815,2.49,0,20.425,0,0,0,0,0,,20.425
1083rdT181,108,3rd,2019/7/16,2020/5/16,23,NULL,224,北西,T18,black tea,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,10,10,10,2,0,64,9.41,4.2,2.044666667,0.5,163.7,59.27,29.93,14.14,24.405,3.13,0,18.785,0,0,0,0,0,,18.785
1083rdT182,108,3rd,2019/7/16,2020/5/16,23,NULL,150,中中,T18,black tea,2,2,0,0,0,0,0,0,7,1,0,0,0,0,1,8,2,5,1,0,64,10.33,4.6,2.200333333,0.8,177.5,58.25,30.5,13.81,24.075,3.135,0,18.26,0,0,0,0,0,,18.26
